Country;Company Code;MaintPlant;Main WorkCtr;Functional Loc.;Description;Equipment;Description;Order Type;Order;Description;MaintActivType;Priority;Priority;Group;Group Counter;Created on;System status;User status;Oper.WorkCenter;Control key;Oper./Act.;Opr. short text;Work;Number;Normal duration;Norm.duratn un.;Actual work;Unit for work;Bas. start date;Basic fin. date;Sched. start;Sched. finish;Earl.start date;EarliestEndDate;Latest start;Lat.finish date;Actual start;Act.finish date;Op.SystemStatus;Oper.UserStatus
DE;465C;BS01;DE_SANDB;DB0411-043;WT SB44 Sandbank (4000374);012345678913;WT Sandbank ,SB44 (4000374);ZCS5;12345688;Boom Extension on Hiab Crane;040;2;Normal;;;30-05-2017;REL  CCOK MSPT PRC  SETC;ZBNQ CLAR PERF ZBA1 ZBPO;DE_SANDB;ZMR1;0010;Boom Extension on Hiab Crane;6,0;2;3,0;H;0,000;H;20-06-2017;07-08-2017;20-06-2017;07-08-2017;20-06-2017;07-08-2017;20-06-2017;07-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-071;WT SB79 Sandbank (4000402);012345678914;WT Sandbank ,SB79 (4000402);ZCS5;12345689;Exchange Rubber Bellow;040;;;;;14-07-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO ZBMC;DE_SANDB;ZMR1;0010;Exchange Rubber Bellow;6,0;3;2,0;H;0,000;H;14-07-2017;15-08-2017;14-07-2017;15-08-2017;14-07-2017;15-08-2017;14-07-2017;15-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-015;WT SB15 Sandbank (4000346);012345678911;WT Sandbank ,SB15 (4000346);ZCS5;12345690;10000 : No connection;040;;;;;15-08-2017;REL  CCOK GMPS NMAT PRC  RESA SETC;ZBNQ PERF RFCO ZBCC;DE_SANDB;ZMR1;0010;10000 : No connection;4,0;2;2,0;H;0,000;H;15-08-2017;15-08-2017;15-08-2017;15-08-2017;15-08-2017;15-08-2017;15-08-2017;15-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-038;WT SB39 Sandbank (4000369);012345678912;WT Sandbank ,SB39 (4000369);ZCS3;12345691;SB39 Remote stop - Owner;030;;;;;24-08-2017;REL  CCOK NMAT PRC  SETC;ZBNQ ZBMC;DE_SANDB;ZMR1;0010;SB39 Remote stop - Owner;1,0;2;0,5;H;0,000;H;24-08-2017;24-08-2017;24-08-2017;24-08-2017;24-08-2017;24-08-2017;24-08-2017;24-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-011;WT DT11 DanTysk (3601192);012345678913;WT Dan Tysk ,DT11 (3601192);ZCS5;12345692;A9B10191123 - Retrofit, yaw software 201;040;;;;;10-11-2017;REL  CCOK MACM PRC  SETC;ZBNQ PERF RECV RFCO ZBCC;DE_OFFDT;ZMR1;0010;A9B10191123 - Retrofit, yaw software 201;0,0;0;0,0;H;0,000;H;25-08-2017;25-08-2017;25-08-2017;25-08-2017;25-08-2017;25-08-2017;25-08-2017;25-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-060;WT SB62 Sandbank (4000391);012345678914;WT Sandbank ,SB62 (4000391);ZCS5;12345693;exchange rubber bellows;040;1;High;;;28-06-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO ZBMC;DE_SANDB;ZMR1;0010;exchange rubber bellows;4,0;2;2,0;H;0,000;H;28-06-2017;28-08-2017;28-06-2017;28-08-2017;28-06-2017;28-08-2017;28-06-2017;28-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-001;WT SB01 Sandbank (4000332);012345678911;WT Sandbank ,SB01 (4000332);ZCS5;12345694;HIAB Crane: Troubleshooting;040;2;Normal;;;29-08-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO;DE_SANDB;ZMR1;0010;HIAB Crane: Troubleshooting;2,0;1;2,0;H;0,000;H;29-08-2017;29-08-2017;29-08-2017;29-08-2017;29-08-2017;29-08-2017;29-08-2017;29-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-022;WT SB22 Sandbank (4000353);012345678912;WT Sandbank ,SB22 (4000353);ZCS3;12345695;Krima-2439613: Sabik UPS battery replace;030;2;Normal;;;30-06-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF ZBMC;DE_SANDB;ZMR1;0010;Krima-2439613: Sabik UPS battery replace;4,0;2;2,0;H;0,000;H;30-06-2017;30-08-2017;30-06-2017;30-08-2017;30-06-2017;30-08-2017;30-06-2017;30-08-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-059;WT SB61 Sandbank (4000390);012345678913;WT Sandbank ,SB61 (4000390);ZCS3;12345696;Krima-2439613: UPS batteries replacement;030;2;Normal;;;30-06-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO ZBMC;DE_SANDB;ZMR1;0010;Krima-2439613: UPS batteries replacement;4,0;2;2,0;H;0,000;H;30-06-2017;30-08-2017;30-06-2017;30-08-2017;30-06-2017;30-08-2017;30-06-2017;30-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-078;WT DT78 DanTysk (3601259);012345678914;WT Dan Tysk ,DT78 (3601259);ZCS1;12345697;3,00_WT-BS01 3601259 Yearly Crane Inspec;020;;;CRANE;1;29-05-2016;REL  NMAT SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZSMC;0010;Crane inspection;3,0;1;3,0;H;0,000;H;19-08-2017;31-08-2017;19-08-2017;31-08-2017;19-08-2017;31-08-2017;19-08-2017;31-08-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-078;WT DT78 DanTysk (3601259);012345678911;WT Dan Tysk ,DT78 (3601259);ZCS1;12345698;3,00_WT-BS01 3601259 Yearly Crane Inspec;020;;;;;29-05-2016;REL  NMAT SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZMR1;0020;3,00_WT-BS01 3601259 Yearly Crane Inspec;3,0;1;3,0;H;0,000;H;19-08-2017;31-08-2017;19-08-2017;31-08-2017;19-08-2017;31-08-2017;19-08-2017;31-08-2017;;;REL;
